,point,Building,Equipment_Type,Equipment_Number,Sensor_Type
0,ACAD.AHU.AHU01.Building Static Pressure,ACAD,AHU,AHU01,Building Static Pressure
1,ACAD.AHU.AHU01.CCV,ACAD,AHU,AHU01,CCV
2,ACAD.AHU.AHU01.Cooling Valve Output,ACAD,AHU,AHU01,Cooling Valve Output
3,ACAD.AHU.AHU01.Economizer Mode,ACAD,AHU,AHU01,Economizer Mode
4,ACAD.AHU.AHU01.FILTER,ACAD,AHU,AHU01,FILTER
5,ACAD.AHU.AHU01.HCV,ACAD,AHU,AHU01,HCV
6,ACAD.AHU.AHU01.Heating Valve Output,ACAD,AHU,AHU01,Heating Valve Output
7,ACAD.AHU.AHU01.Minimum Outside Air Damper,ACAD,AHU,AHU01,Minimum Outside Air Damper
8,ACAD.AHU.AHU01.Mixed Air Damper Command,ACAD,AHU,AHU01,Mixed Air Damper Command
9,ACAD.AHU.AHU01.Mixed Air Damper Output,ACAD,AHU,AHU01,Mixed Air Damper Output
10,ACAD.AHU.AHU01.Mixed Air Temp,ACAD,AHU,AHU01,Mixed Air Temp
11,ACAD.AHU.AHU01.MODE,ACAD,AHU,AHU01,MODE
12,ACAD.AHU.AHU01.Outside Air Temp,ACAD,AHU,AHU01,Outside Air Temp
13,ACAD.AHU.AHU01.Outside Air Temp Virt,ACAD,AHU,AHU01,Outside Air Temp Virt
14,ACAD.AHU.AHU01.Return Air Fan Start/Stop,ACAD,AHU,AHU01,Return Air Fan Start/Stop
15,ACAD.AHU.AHU01.Return Air Fan VFD Power HP,ACAD,AHU,AHU01,Return Air Fan VFD Power HP
16,ACAD.AHU.AHU01.Return Air Temp,ACAD,AHU,AHU01,Return Air Temp
17,ACAD.AHU.AHU01.Return Fan Speed,ACAD,AHU,AHU01,Return Fan Speed
18,ACAD.AHU.AHU01.Return Fan Status,ACAD,AHU,AHU01,Return Fan Status
19,ACAD.AHU.AHU01.Return Fan VFD Frequency,ACAD,AHU,AHU01,Return Fan VFD Frequency
20,ACAD.AHU.AHU01.Supply Air Fan Start/Stop,ACAD,AHU,AHU01,Supply Air Fan Start/Stop
21,ACAD.AHU.AHU01.Supply Air Fan VFD Power HP,ACAD,AHU,AHU01,Supply Air Fan VFD Power HP
22,ACAD.AHU.AHU01.Supply Air Pressure,ACAD,AHU,AHU01,Supply Air Pressure
23,ACAD.AHU.AHU01.Supply Air Pressure Sp,ACAD,AHU,AHU01,Supply Air Pressure Sp
24,ACAD.AHU.AHU01.Supply Air Temp,ACAD,AHU,AHU01,Supply Air Temp
25,ACAD.AHU.AHU01.Supply Air Temp Sp,ACAD,AHU,AHU01,Supply Air Temp Sp
26,ACAD.AHU.AHU01.Supply Fan Speed,ACAD,AHU,AHU01,Supply Fan Speed
27,ACAD.AHU.AHU01.Supply Fan Status,ACAD,AHU,AHU01,Supply Fan Status
28,ACAD.AHU.AHU01.Supply Fan VFD Frequency,ACAD,AHU,AHU01,Supply Fan VFD Frequency
29,ACAD.AHU.AHU02.Building Static Pressure,ACAD,AHU,AHU02,Building Static Pressure
30,ACAD.AHU.AHU02.CCV,ACAD,AHU,AHU02,CCV
31,ACAD.AHU.AHU02.Cooling Valve Output,ACAD,AHU,AHU02,Cooling Valve Output
32,ACAD.AHU.AHU02.Economizer Mode,ACAD,AHU,AHU02,Economizer Mode
33,ACAD.AHU.AHU02.FILTER,ACAD,AHU,AHU02,FILTER
34,ACAD.AHU.AHU02.HCV,ACAD,AHU,AHU02,HCV
35,ACAD.AHU.AHU02.Heating Valve Output,ACAD,AHU,AHU02,Heating Valve Output
36,ACAD.AHU.AHU02.Minimum Outside Air Damper,ACAD,AHU,AHU02,Minimum Outside Air Damper
37,ACAD.AHU.AHU02.Mixed Air Damper Command,ACAD,AHU,AHU02,Mixed Air Damper Command
38,ACAD.AHU.AHU02.Mixed Air Damper Output,ACAD,AHU,AHU02,Mixed Air Damper Output
39,ACAD.AHU.AHU02.Mixed Air Temp,ACAD,AHU,AHU02,Mixed Air Temp
40,ACAD.AHU.AHU02.MODE,ACAD,AHU,AHU02,MODE
41,ACAD.AHU.AHU02.Outside Air Flow,ACAD,AHU,AHU02,Outside Air Flow
42,ACAD.AHU.AHU02.Outside Air Temp,ACAD,AHU,AHU02,Outside Air Temp
43,ACAD.AHU.AHU02.Outside Air Temp Virt,ACAD,AHU,AHU02,Outside Air Temp Virt
44,ACAD.AHU.AHU02.Return Air Fan Start/Stop,ACAD,AHU,AHU02,Return Air Fan Start/Stop
45,ACAD.AHU.AHU02.Return Air Fan VFD Power HP,ACAD,AHU,AHU02,Return Air Fan VFD Power HP
46,ACAD.AHU.AHU02.Return Air Temp,ACAD,AHU,AHU02,Return Air Temp
47,ACAD.AHU.AHU02.Return Fan Speed,ACAD,AHU,AHU02,Return Fan Speed
48,ACAD.AHU.AHU02.Return Fan Status,ACAD,AHU,AHU02,Return Fan Status
49,ACAD.AHU.AHU02.Return Fan VFD Frequency,ACAD,AHU,AHU02,Return Fan VFD Frequency
50,ACAD.AHU.AHU02.SSD,ACAD,AHU,AHU02,SSD
