,point,Building,Equipment_Type,Sensor_Type
1255,ACAD.CHW.BRIDGE,ACAD,CHW,BRIDGE
1256,ACAD.CHW.BTONS,ACAD,CHW,BTONS
1257,ACAD.CHW.Building Chilled Water Flow,ACAD,CHW,Building Chilled Water Flow
1258,ACAD.CHW.Building Chilled Water Return Temp,ACAD,CHW,Building Chilled Water Return Temp
1259,ACAD.CHW.Building Chilled Water Supply Temp,ACAD,CHW,Building Chilled Water Supply Temp
1260,ACAD.CHW.Building Chilled Water Supply Temp Sp,ACAD,CHW,Building Chilled Water Supply Temp Sp
1261,ACAD.CHW.Pump1_SPEED,ACAD,CHW,Pump1_SPEED
1262,ACAD.CHW.Pump1_Start/Stop,ACAD,CHW,Pump1_Start/Stop
1263,ACAD.CHW.Pump2_SPEED,ACAD,CHW,Pump2_SPEED
1264,ACAD.CHW.Pump2_Start/Stop,ACAD,CHW,Pump2_Start/Stop
1265,ACAD.CHW.ECONOMIZER,ACAD,CHW,ECONOMIZER
1266,ACAD.CHW.EOLDP,ACAD,CHW,EOLDP
1267,ACAD.CHW.EOLDP SP,ACAD,CHW,EOLDP SP
1268,ACAD.CHW.EOLDPSP,ACAD,CHW,EOLDPSP
1269,ACAD.CHW.Loop Chilled Water Return Temp,ACAD,CHW,Loop Chilled Water Return Temp
1270,ACAD.CHW.Loop Chilled Water Return Temp Sp,ACAD,CHW,Loop Chilled Water Return Temp Sp
1271,ACAD.CHW.Loop Chilled Water Supply Temp,ACAD,CHW,Loop Chilled Water Supply Temp
1272,ACAD.CHW.Loop Chilled Water Supply Temp Sp,ACAD,CHW,Loop Chilled Water Supply Temp Sp
1273,ACAD.CHW.LOOP DP,ACAD,CHW,LOOP DP
1274,ACAD.CHW.MAX CCO,ACAD,CHW,MAX CCO
1443,AOB4.CHW.Building Chilled Water Return Temp,AOB4,CHW,Building Chilled Water Return Temp
1444,AOB4.CHW.Building Chilled Water Supply Temp,AOB4,CHW,Building Chilled Water Supply Temp
1445,AOB4.CHW.Building Chilled Water Supply Temp Sp,AOB4,CHW,Building Chilled Water Supply Temp Sp
1446,AOB4.CHW.DIVERTING,AOB4,CHW,DIVERTING
1447,AOB4.CHW.ECONOMIZER,AOB4,CHW,ECONOMIZER
1448,AOB4.CHW.Loop Chilled Water Supply Temp,AOB4,CHW,Loop Chilled Water Supply Temp
1449,AOB4.CHW.Outside Air Temp,AOB4,CHW,Outside Air Temp
1450,AOB4.CHW.Pump1_Call,AOB4,CHW,Pump1_Call
1451,AOB4.CHW.Pump1_Start/Stop,AOB4,CHW,Pump1_Start/Stop
2240,ARC.CHW.1ST STAGE,ARC,CHW,1ST STAGE
2241,ARC.CHW.2ND STAGE,ARC,CHW,2ND STAGE
2242,ARC.CHW.BLDGDP2,ARC,CHW,BLDGDP2
2243,ARC.CHW.BLDGDP3,ARC,CHW,BLDGDP3
2244,ARC.CHW.BOTHPUMPS,ARC,CHW,BOTHPUMPS
2245,ARC.CHW.BRIDGE,ARC,CHW,BRIDGE
2246,ARC.CHW.BRIDGEPOS,ARC,CHW,BRIDGEPOS
2250,ARC.CHW.Building Chilled Water Flow,ARC,CHW,Building Chilled Water Flow
2251,ARC.CHW.Building Chilled Water Return Temp,ARC,CHW,Building Chilled Water Return Temp
2252,ARC.CHW.Building Chilled Water Supply Temp,ARC,CHW,Building Chilled Water Supply Temp
2253,ARC.CHW.Call,ARC,CHW,Call
2254,ARC.CHW.CHVLOOP,ARC,CHW,CHVLOOP
2255,ARC.CHW.CHWP,ARC,CHW,CHWP
2257,ARC.CHW.CHWP3,ARC,CHW,CHWP3
2258,ARC.CHW.Pump3_SPEED,ARC,CHW,Pump3_SPEED
2259,ARC.CHW.Pump3_Start/Stop,ARC,CHW,Pump3_Start/Stop
2260,ARC.CHW.CHWP3VFDSPEED,ARC,CHW,CHWP3VFDSPEED
2261,ARC.CHW.CHWP4,ARC,CHW,CHWP4
2262,ARC.CHW.Pump4_SPEED,ARC,CHW,Pump4_SPEED
2263,ARC.CHW.Pump4_Start/Stop,ARC,CHW,Pump4_Start/Stop
2264,ARC.CHW.CHWP4VFDSPEED,ARC,CHW,CHWP4VFDSPEED
2265,ARC.CHW.CHWPBYPAStart/Stop,ARC,CHW,CHWPBYPAStart/Stop
2266,ARC.CHW.CHWPLEAD,ARC,CHW,CHWPLEAD
2267,ARC.CHW.DPSETPOINT,ARC,CHW,DPSETPOINT
2268,ARC.CHW.ECONOMIZER,ARC,CHW,ECONOMIZER
2269,ARC.CHW.ECONOMIZERPOS,ARC,CHW,ECONOMIZERPOS
