,point,Building,Equipment_Type,Sensor_Type
1316,ACAD.HHW.BLDGDP,ACAD,HHW,BLDGDP
1317,ACAD.HHW.Building Hot Water Flow,ACAD,HHW,Building Hot Water Flow
1318,ACAD.HHW.Building Hot Water Return Temp,ACAD,HHW,Building Hot Water Return Temp
1319,ACAD.HHW.Building Hot Water Supply Temp,ACAD,HHW,Building Hot Water Supply Temp
1320,ACAD.HHW.Building Hot Water Supply Temp Setpoint,ACAD,HHW,Building Hot Water Supply Temp Setpoint
1321,ACAD.HHW.EOLDP,ACAD,HHW,EOLDP
1322,ACAD.HHW.Hot Water Flow Switch,ACAD,HHW,Hot Water Flow Switch
1323,ACAD.HHW.MAXVLV,ACAD,HHW,MAXVLV
1324,ACAD.HHW.MBH,ACAD,HHW,MBH
1325,ACAD.HHW.Outside Air Temp,ACAD,HHW,Outside Air Temp
1326,ACAD.HHW.Pump 1 Speed,ACAD,HHW,Pump 1 Speed
1327,ACAD.HHW.Pump 1 Status,ACAD,HHW,Pump 1 Status
1328,ACAD.HHW.Pump 2 Speed,ACAD,HHW,Pump 2 Speed
1329,ACAD.HHW.Pump 2 Status,ACAD,HHW,Pump 2 Status
1330,ACAD.HHW.Steam Valve Position,ACAD,HHW,Steam Valve Position
1331,ACAD.HHW.THERMSH,ACAD,HHW,THERMSH
1438,AMRL.HHW.BLRCall,AMRL,HHW,BLRCall
1439,AMRL.HHW.Building Hot Water Return Temp,AMRL,HHW,Building Hot Water Return Temp
1440,AMRL.HHW.Building Hot Water Supply Temp,AMRL,HHW,Building Hot Water Supply Temp
1441,AMRL.HHW.Pump 1 Status,AMRL,HHW,Pump 1 Status
1453,AOB4.HHW.Building Hot Water Supply Temp Setpoint,AOB4,HHW,Building Hot Water Supply Temp Setpoint
1454,AOB4.HHW.HWS,AOB4,HHW,HWS
1455,AOB4.HHW.Outside Air Temp,AOB4,HHW,Outside Air Temp
1456,AOB4.HHW.Pump1_Call,AOB4,HHW,Pump1_Call
1457,AOB4.HHW.STMVLV,AOB4,HHW,STMVLV
2325,ARC.HHW.1STHWP,ARC,HHW,1STHWP
2326,ARC.HHW.2NDHWP,ARC,HHW,2NDHWP
2327,ARC.HHW.Building Hot Water Flow,ARC,HHW,Building Hot Water Flow
2328,ARC.HHW.Building Hot Water Return Temp,ARC,HHW,Building Hot Water Return Temp
2329,ARC.HHW.Building Hot Water Supply Temp,ARC,HHW,Building Hot Water Supply Temp
