,point,Building,Zone,Room_Number,Sensor_Type
241,ACAD.AHU01.RM1044.Zone Air Control Temp,ACAD,AHU01,RM1044,Zone Air Control Temp
242,ACAD.AHU01.RM1044.Zone Heating Mode,ACAD,AHU01,RM1044,Zone Heating Mode
243,ACAD.AHU01.RM1044_MIX.Zone Air Damper Command,ACAD,AHU01,RM1044_MIX,Zone Air Damper Command
244,ACAD.AHU01.RM1044_MIX.Zone Air Temp,ACAD,AHU01,RM1044_MIX,Zone Air Temp
245,ACAD.AHU01.RM1044_MIX.Zone Air Temp Sp,ACAD,AHU01,RM1044_MIX,Zone Air Temp Sp
246,ACAD.AHU01.RM1044_MIX.Zone Percent Air Flow,ACAD,AHU01,RM1044_MIX,Zone Percent Air Flow
247,ACAD.AHU01.RM1044_MIX.Zone Supply Air Flow,ACAD,AHU01,RM1044_MIX,Zone Supply Air Flow
248,ACAD.AHU01.RM1044_MIX.Zone Supply Air Temp,ACAD,AHU01,RM1044_MIX,Zone Supply Air Temp
249,ACAD.AHU01.RM1115.Zone Air Control Temp,ACAD,AHU01,RM1115,Zone Air Control Temp
250,ACAD.AHU01.RM1115_MIX.Zone Air Damper Command,ACAD,AHU01,RM1115_MIX,Zone Air Damper Command
251,ACAD.AHU01.RM1115_MIX.Zone Air Temp,ACAD,AHU01,RM1115_MIX,Zone Air Temp
252,ACAD.AHU01.RM1115_MIX.Zone Percent Air Flow,ACAD,AHU01,RM1115_MIX,Zone Percent Air Flow
253,ACAD.AHU01.RM1115_MIX.Zone Supply Air Flow,ACAD,AHU01,RM1115_MIX,Zone Supply Air Flow
254,ACAD.AHU01.RM1115_MIX.Zone Supply Air Temp,ACAD,AHU01,RM1115_MIX,Zone Supply Air Temp
255,ACAD.AHU01.RM2120.Zone Air Control Temp,ACAD,AHU01,RM2120,Zone Air Control Temp
256,ACAD.AHU01.RM2120_MIX.Zone Air Damper Command,ACAD,AHU01,RM2120_MIX,Zone Air Damper Command
257,ACAD.AHU01.RM2120_MIX.Zone Air Temp,ACAD,AHU01,RM2120_MIX,Zone Air Temp
258,ACAD.AHU01.RM2120_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2120_MIX,Zone Air Temp Sp
259,ACAD.AHU01.RM2120_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2120_MIX,Zone Percent Air Flow
260,ACAD.AHU01.RM2120_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2120_MIX,Zone Supply Air Flow
261,ACAD.AHU01.RM2120_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2120_MIX,Zone Supply Air Temp
262,ACAD.AHU01.RM2142.Zone Air Control Temp,ACAD,AHU01,RM2142,Zone Air Control Temp
263,ACAD.AHU01.RM2142_MIX.Zone Air Damper Command,ACAD,AHU01,RM2142_MIX,Zone Air Damper Command
264,ACAD.AHU01.RM2142_MIX.Zone Air Temp,ACAD,AHU01,RM2142_MIX,Zone Air Temp
265,ACAD.AHU01.RM2142_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2142_MIX,Zone Air Temp Sp
266,ACAD.AHU01.RM2142_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2142_MIX,Zone Percent Air Flow
267,ACAD.AHU01.RM2142_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2142_MIX,Zone Supply Air Flow
268,ACAD.AHU01.RM2142_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2142_MIX,Zone Supply Air Temp
269,ACAD.AHU01.RM2144.Zone Air Control Temp,ACAD,AHU01,RM2144,Zone Air Control Temp
270,ACAD.AHU01.RM2144_MIX.Zone Air Damper Command,ACAD,AHU01,RM2144_MIX,Zone Air Damper Command
271,ACAD.AHU01.RM2144_MIX.Zone Air Temp,ACAD,AHU01,RM2144_MIX,Zone Air Temp
272,ACAD.AHU01.RM2144_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2144_MIX,Zone Air Temp Sp
273,ACAD.AHU01.RM2144_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2144_MIX,Zone Percent Air Flow
274,ACAD.AHU01.RM2144_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2144_MIX,Zone Supply Air Flow
275,ACAD.AHU01.RM2144_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2144_MIX,Zone Supply Air Temp
276,ACAD.AHU01.RM2334.Zone Air Control Temp,ACAD,AHU01,RM2334,Zone Air Control Temp
277,ACAD.AHU01.RM2334_MIX.Zone Air Damper Command,ACAD,AHU01,RM2334_MIX,Zone Air Damper Command
278,ACAD.AHU01.RM2334_MIX.Zone Air Temp,ACAD,AHU01,RM2334_MIX,Zone Air Temp
279,ACAD.AHU01.RM2334_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2334_MIX,Zone Air Temp Sp
280,ACAD.AHU01.RM2334_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2334_MIX,Zone Percent Air Flow
281,ACAD.AHU01.RM2334_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2334_MIX,Zone Supply Air Flow
282,ACAD.AHU01.RM2334_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2334_MIX,Zone Supply Air Temp
283,ACAD.AHU01.RM2338.Zone Air Control Temp,ACAD,AHU01,RM2338,Zone Air Control Temp
284,ACAD.AHU01.RM2338_MIX.Zone Air Damper Command,ACAD,AHU01,RM2338_MIX,Zone Air Damper Command
285,ACAD.AHU01.RM2338_MIX.Zone Air Temp,ACAD,AHU01,RM2338_MIX,Zone Air Temp
286,ACAD.AHU01.RM2338_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2338_MIX,Zone Air Temp Sp
